Episode: 118 || Reward: 170.08 || Actor Loss: -24.48 || Critic Loss: 0.2 || Log Prob: -28.62 || Alpha: 0.05 || Time/Update: 8.07ms || Total Steps: 18290 || Song: twinkle_twinkle_little_star
Episode: 119 || Reward: 172.71 || Actor Loss: -23.95 || Critic Loss: 0.19 || Log Prob: -28.34 || Alpha: 0.05 || Time/Update: 8.2ms || Total Steps: 18445 || Song: twinkle_twinkle_little_star
Episode: 120 || Reward: 170.6 || Actor Loss: -23.45 || Critic Loss: 0.19 || Log Prob: -28.06 || Alpha: 0.04 || Time/Update: 8.39ms || Total Steps: 18600 || Song: twinkle_twinkle_little_star
Episode: 121 || Reward: 174.32 || Actor Loss: -22.96 || Critic Loss: 0.18 || Log Prob: -27.88 || Alpha: 0.04 || Time/Update: 7.83ms || Total Steps: 18755 || Song: twinkle_twinkle_little_star
Episode: 122 || Reward: 170.23 || Actor Loss: -22.49 || Critic Loss: 0.17 || Log Prob: -27.7 || Alpha: 0.04 || Time/Update: 7.37ms || Total Steps: 18910 || Song: twinkle_twinkle_little_star
Episode: 123 || Reward: 181.33 || Actor Loss: -22.03 || Critic Loss: 0.16 || Log Prob: -27.45 || Alpha: 0.04 || Time/Update: 7.68ms || Total Steps: 19065 || Song: twinkle_twinkle_little_star
Episode: 124 || Reward: 185.36 || Actor Loss: -21.6 || Critic Loss: 0.16 || Log Prob: -27.29 || Alpha: 0.04 || Time/Update: 7.83ms || Total Steps: 19220 || Song: twinkle_twinkle_little_star
Episode: 125 || Reward: 191.03 || Actor Loss: -21.18 || Critic Loss: 0.15 || Log Prob: -27.04 || Alpha: 0.04 || Time/Update: 7.62ms || Total Steps: 19375 || Song: twinkle_twinkle_little_star
Episode: 126 || Reward: 183.7 || Actor Loss: -20.78 || Critic Loss: 0.15 || Log Prob: -26.76 || Alpha: 0.04 || Time/Update: 7.33ms || Total Steps: 19530 || Song: twinkle_twinkle_little_star
Episode: 127 || Reward: 182.48 || Actor Loss: -20.4 || Critic Loss: 0.14 || Log Prob: -26.38 || Alpha: 0.03 || Time/Update: 7.49ms || Total Steps: 19685 || Song: twinkle_twinkle_little_star
Episode: 128 || Reward: 182.05 || Actor Loss: -20.02 || Critic Loss: 0.14 || Log Prob: -26.07 || Alpha: 0.03 || Time/Update: 7.53ms || Total Steps: 19840 || Song: twinkle_twinkle_little_star
Episode: 129 || Reward: 178.9 || Actor Loss: -19.68 || Critic Loss: 0.13 || Log Prob: -25.78 || Alpha: 0.03 || Time/Update: 7.62ms || Total Steps: 19995 || Song: twinkle_twinkle_little_star
Episode: 130 || Reward: 184.47 || Actor Loss: -19.34 || Critic Loss: 0.13 || Log Prob: -25.49 || Alpha: 0.03 || Time/Update: 7.46ms || Total Steps: 20150 || Song: twinkle_twinkle_little_star
Validation Episode:
  Song: twinkle_twinkle_little_star, Reward: 249.96, F1: 0.01, Precision: 0.14, Recall: 0.0
Episode: 131 || Reward: 184.28 || Actor Loss: -19.01 || Critic Loss: 0.12 || Log Prob: -25.09 || Alpha: 0.03 || Time/Update: 8.09ms || Total Steps: 20305 || Song: twinkle_twinkle_little_star
Episode: 132 || Reward: 193.56 || Actor Loss: -18.68 || Critic Loss: 0.12 || Log Prob: -24.84 || Alpha: 0.03 || Time/Update: 8.19ms || Total Steps: 20460 || Song: twinkle_twinkle_little_star
Episode: 133 || Reward: 182.0 || Actor Loss: -18.4 || Critic Loss: 0.12 || Log Prob: -24.48 || Alpha: 0.03 || Time/Update: 8.03ms || Total Steps: 20615 || Song: twinkle_twinkle_little_star
Episode: 134 || Reward: 194.26 || Actor Loss: -18.1 || Critic Loss: 0.11 || Log Prob: -24.28 || Alpha: 0.03 || Time/Update: 8.06ms || Total Steps: 20770 || Song: twinkle_twinkle_little_star
Episode: 135 || Reward: 182.44 || Actor Loss: -17.83 || Critic Loss: 0.1 || Log Prob: -24.0 || Alpha: 0.03 || Time/Update: 8.09ms || Total Steps: 20925 || Song: twinkle_twinkle_little_star
Episode: 136 || Reward: 190.48 || Actor Loss: -17.55 || Critic Loss: 0.1 || Log Prob: -23.65 || Alpha: 0.03 || Time/Update: 7.94ms || Total Steps: 21080 || Song: twinkle_twinkle_little_star
Episode: 137 || Reward: 189.41 || Actor Loss: -17.29 || Critic Loss: 0.1 || Log Prob: -23.33 || Alpha: 0.02 || Time/Update: 7.63ms || Total Steps: 21235 || Song: twinkle_twinkle_little_star
Episode: 138 || Reward: 194.73 || Actor Loss: -17.05 || Critic Loss: 0.1 || Log Prob: -22.69 || Alpha: 0.02 || Time/Update: 7.47ms || Total Steps: 21390 || Song: twinkle_twinkle_little_star
Episode: 139 || Reward: 192.88 || Actor Loss: -16.82 || Critic Loss: 0.09 || Log Prob: -22.22 || Alpha: 0.02 || Time/Update: 7.43ms || Total Steps: 21545 || Song: twinkle_twinkle_little_star
Episode: 140 || Reward: 192.96 || Actor Loss: -16.61 || Critic Loss: 0.09 || Log Prob: -21.91 || Alpha: 0.02 || Time/Update: 7.68ms || Total Steps: 21700 || Song: twinkle_twinkle_little_star
Episode: 141 || Reward: 192.78 || Actor Loss: -16.38 || Critic Loss: 0.09 || Log Prob: -21.34 || Alpha: 0.02 || Time/Update: 6.82ms || Total Steps: 21855 || Song: twinkle_twinkle_little_star
Episode: 142 || Reward: 194.36 || Actor Loss: -16.17 || Critic Loss: 0.09 || Log Prob: -21.14 || Alpha: 0.02 || Time/Update: 6.73ms || Total Steps: 22010 || Song: twinkle_twinkle_little_star
