Episode: 95 || Reward: 115.3 || Actor Loss: -34.2 || Critic Loss: 0.36 || Log Prob: -31.01 || Alpha: 0.08 || Time/Update: 6.93ms || Total Steps: 15770 || Song: twinkle_twinkle_little_star
Episode: 96 || Reward: 107.22 || Actor Loss: -33.16 || Critic Loss: 0.34 || Log Prob: -30.93 || Alpha: 0.08 || Time/Update: 7.32ms || Total Steps: 15936 || Song: twinkle_twinkle_little_star
Episode: 97 || Reward: 109.11 || Actor Loss: -32.17 || Critic Loss: 0.32 || Log Prob: -30.84 || Alpha: 0.08 || Time/Update: 7.64ms || Total Steps: 16102 || Song: twinkle_twinkle_little_star
Episode: 98 || Reward: 119.86 || Actor Loss: -31.22 || Critic Loss: 0.31 || Log Prob: -30.73 || Alpha: 0.07 || Time/Update: 7.5ms || Total Steps: 16268 || Song: twinkle_twinkle_little_star
Episode: 99 || Reward: 127.26 || Actor Loss: -30.31 || Critic Loss: 0.29 || Log Prob: -30.56 || Alpha: 0.07 || Time/Update: 5.7ms || Total Steps: 16434 || Song: twinkle_twinkle_little_star
Episode: 100 || Reward: 124.38 || Actor Loss: -29.41 || Critic Loss: 0.28 || Log Prob: -30.47 || Alpha: 0.07 || Time/Update: 5.6ms || Total Steps: 16600 || Song: twinkle_twinkle_little_star
Episode: 101 || Reward: 127.85 || Actor Loss: -28.57 || Critic Loss: 0.26 || Log Prob: -30.33 || Alpha: 0.07 || Time/Update: 5.68ms || Total Steps: 16766 || Song: twinkle_twinkle_little_star
Episode: 102 || Reward: 125.24 || Actor Loss: -27.74 || Critic Loss: 0.25 || Log Prob: -30.15 || Alpha: 0.06 || Time/Update: 5.67ms || Total Steps: 16932 || Song: twinkle_twinkle_little_star
Episode: 103 || Reward: 135.04 || Actor Loss: -26.96 || Critic Loss: 0.24 || Log Prob: -30.01 || Alpha: 0.06 || Time/Update: 5.54ms || Total Steps: 17098 || Song: twinkle_twinkle_little_star
Episode: 104 || Reward: 127.39 || Actor Loss: -26.21 || Critic Loss: 0.22 || Log Prob: -29.92 || Alpha: 0.06 || Time/Update: 5.64ms || Total Steps: 17264 || Song: twinkle_twinkle_little_star
Episode: 105 || Reward: 127.07 || Actor Loss: -25.49 || Critic Loss: 0.21 || Log Prob: -29.7 || Alpha: 0.06 || Time/Update: 5.67ms || Total Steps: 17430 || Song: twinkle_twinkle_little_star
Episode: 106 || Reward: 125.08 || Actor Loss: -24.79 || Critic Loss: 0.2 || Log Prob: -29.51 || Alpha: 0.05 || Time/Update: 5.56ms || Total Steps: 17596 || Song: twinkle_twinkle_little_star
Episode: 107 || Reward: 125.01 || Actor Loss: -24.12 || Critic Loss: 0.19 || Log Prob: -29.41 || Alpha: 0.05 || Time/Update: 6.17ms || Total Steps: 17762 || Song: twinkle_twinkle_little_star
Episode: 108 || Reward: 126.98 || Actor Loss: -23.48 || Critic Loss: 0.19 || Log Prob: -29.19 || Alpha: 0.05 || Time/Update: 6.8ms || Total Steps: 17928 || Song: twinkle_twinkle_little_star
Episode: 109 || Reward: 138.36 || Actor Loss: -22.85 || Critic Loss: 0.17 || Log Prob: -29.09 || Alpha: 0.05 || Time/Update: 6.73ms || Total Steps: 18094 || Song: twinkle_twinkle_little_star
Episode: 110 || Reward: 149.76 || Actor Loss: -22.27 || Critic Loss: 0.16 || Log Prob: -28.82 || Alpha: 0.05 || Time/Update: 6.77ms || Total Steps: 18260 || Song: twinkle_twinkle_little_star
Episode: 111 || Reward: 128.13 || Actor Loss: -21.7 || Critic Loss: 0.16 || Log Prob: -28.54 || Alpha: 0.05 || Time/Update: 6.82ms || Total Steps: 18426 || Song: twinkle_twinkle_little_star
Episode: 112 || Reward: 151.51 || Actor Loss: -21.14 || Critic Loss: 0.16 || Log Prob: -28.33 || Alpha: 0.04 || Time/Update: 6.75ms || Total Steps: 18592 || Song: twinkle_twinkle_little_star
Episode: 113 || Reward: 137.87 || Actor Loss: -20.63 || Critic Loss: 0.15 || Log Prob: -28.04 || Alpha: 0.04 || Time/Update: 6.83ms || Total Steps: 18758 || Song: twinkle_twinkle_little_star
Episode: 114 || Reward: 138.04 || Actor Loss: -20.13 || Critic Loss: 0.14 || Log Prob: -27.87 || Alpha: 0.04 || Time/Update: 6.97ms || Total Steps: 18924 || Song: twinkle_twinkle_little_star
Episode: 115 || Reward: 150.15 || Actor Loss: -19.65 || Critic Loss: 0.13 || Log Prob: -27.64 || Alpha: 0.04 || Time/Update: 7.64ms || Total Steps: 19090 || Song: twinkle_twinkle_little_star
